iter	Passed	Remaining
0	252	125951
1	343	85511
2	454	75260
3	564	70034
4	669	66237
5	752	61947
6	834	58759
7	929	57145
8	1027	56029
9	1156	56666
10	1260	56045
11	1348	54841
12	1426	53437
13	1515	52611
14	1612	52151
15	1719	52014
16	1809	51406
17	1898	50833
18	1987	50309
19	2066	49588
20	2163	49338
21	2254	48987
22	2398	49743
23	2533	50243
24	2615	49692
25	2694	49129
26	2776	48639
27	2856	48158
28	2939	47749
29	3018	47297
30	3094	46820
31	3176	46450
32	3256	46083
33	3341	45793
34	3419	45432
35	3503	45150
36	3589	44912
37	3682	44765
38	3768	44548
39	3844	44214
40	3928	43977
41	4012	43760
42	4096	43535
43	4177	43292
44	4259	43064
45	4340	42842
46	4428	42680
47	4546	42817
48	4646	42768
49	4730	42570
50	4812	42372
51	4892	42148
52	4991	42094
53	5072	41893
54	5121	41437
55	5195	41189
56	5277	41014
57	5356	40819
58	5433	40609
59	5516	40456
60	5606	40347
61	5684	40155
62	5763	39976
63	5845	39821
64	5932	39703
65	6022	39600
66	6103	39446
67	6179	39258
68	6260	39103
69	6344	38974
70	6379	38549
71	6460	38405
72	6542	38270
73	6635	38197
74	6730	38137
75	6812	38004
76	6894	37873
77	6978	37754
78	7056	37606
79	7138	37479
80	7231	37409
81	7335	37395
82	7425	37303
83	7509	37190
84	7594	37079
85	7683	36989
86	7770	36889
87	7859	36795
88	7952	36722
89	8035	36606
90	8171	36727
91	8282	36732
92	8365	36608
93	8444	36475
94	8653	36891
95	8778	36943
96	8900	36979
97	9030	37043
98	9181	37190
99	9324	37296
100	9402	37145
101	9483	37004
102	9707	37414
103	9875	37601
104	10015	37675
105	10128	37647
106	10231	37578
107	10338	37524
108	10408	37336
109	10483	37167
110	10548	36969
111	10616	36778
112	10688	36605
113	10757	36423
114	10826	36243
115	10898	36078
116	10963	35889
117	11027	35700
118	11090	35507
119	11157	35330
120	11225	35159
121	11300	35011
122	11370	34850
123	11436	34676
124	11507	34523
125	11572	34349
126	11635	34173
127	11702	34009
128	11767	33843
129	11834	33683
130	11900	33521
131	11966	33362
132	12032	33201
133	12102	33057
134	12170	32905
135	12247	32781
136	12337	32689
137	12421	32583
138	12566	32637
139	12671	32584
140	12793	32574
141	12929	32597
142	13126	32770
143	13223	32691
144	13324	32621
145	13402	32497
146	13480	32371
147	13606	32362
